id,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep,1-Oct,2-Oct,3-Oct,4-Oct
G8,3,3,3,3,3,3,3,NA,3,3,3,3
G9,3,1,3,3,3,3,3,NA,3,3,3,3
G0,3,3,3,3,3,3,3,NA,3,3,3,3
H1,3,3,3,3,3,3,3,NA,3,3,3,3
H2,3,3,3,3,3,3,3,NA,3,3,3,3
H3,3,3,3,3,3,3,3,NA,3,3,3,3
H4,3,3,3,3,3,3,3,NA,3,3,3,3
H5,3,3,3,3,3,3,3,NA,3,3,3,3
H6,3,3,3,3,3,3,3,NA,3,3,3,3
H7,3,3,3,3,3,3,3,NA,3,3,3,3
H8,3,3,3,3,3,3,3,NA,3,3,3,3
H9,3,3,3,3,3,3,3,NA,3,3,3,3
H0,3,3,3,3,3,3,3,NA,3,3,3,3
I1,3,3,3,3,3,3,3,NA,3,3,3,3
I2,3,3,3,3,3,3,3,NA,3,3,3,3
I3,3,2,3,3,3,3,3,NA,3,3,3,3
I4,3,3,3,3,3,3,3,NA,3,3,3,3
I5,3,3,3,3,3,3,3,NA,3,3,3,3
I6,3,1,3,3,3,3,3,NA,3,3,3,3
I7,3,3,3,3,3,3,3,NA,3,3,3,3
I8,3,3,3,3,3,3,3,NA,3,2,3,3
I9,3,1,3,3,3,3,3,NA,3,3,3,3
I0,3,3,3,3,3,3,3,NA,3,3,3,3
J1,3,3,3,3,3,3,3,NA,3,3,3,1
J2,3,3,3,3,3,3,3,NA,3,3,2,3
J3,3,3,3,3,3,3,3,NA,3,3,3,3
J4,3,2,3,3,3,3,3,NA,3,3,3,3
J5,3,3,3,3,3,3,3,NA,1,3,3,3
J6,3,3,3,3,3,3,3,NA,2,3,3,3
J7,3,3,3,3,3,3,3,NA,3,3,3,3
J8,3,3,3,3,3,3,3,NA,2,3,3,3
J9,3,3,3,3,3,3,3,NA,3,3,3,3
K1,3,3,3,3,3,3,3,NA,3,3,3,3
K2,3,3,1,3,3,3,3,NA,3,3,3,3
K3,3,3,1,3,3,3,3,NA,3,3,3,3
K4,3,3,3,3,3,3,3,NA,3,3,3,3
K5,3,3,3,3,3,3,3,NA,3,3,3,3
K6,3,3,3,3,3,3,3,NA,3,3,3,3
K7,3,3,3,3,3,3,3,NA,3,3,3,3
K8,3,3,3,3,3,3,3,NA,3,3,3,3
K9,3,3,3,2,3,3,3,NA,3,3,3,3
K0,3,3,3,3,3,3,3,NA,3,3,3,3
K,3,3,1,3,3,3,3,NA,3,3,3,3
L1,3,3,3,3,3,3,3,NA,3,3,3,3
L2,3,3,3,3,3,3,3,NA,3,3,3,3
L3,3,3,3,3,3,3,3,NA,3,3,3,3
L4,3,3,3,3,3,3,3,NA,3,3,3,3
L5,3,3,2,3,3,3,3,NA,3,3,3,3
L6,3,3,3,3,3,3,3,NA,3,3,3,3
L7,3,3,3,3,3,3,3,NA,3,3,3,3
L8,3,3,1,3,3,3,3,NA,3,3,3,3
L9,3,3,3,3,3,3,3,NA,3,3,3,3
L0,3,3,3,3,3,3,3,NA,3,3,3,3
M1,3,3,3,3,3,3,3,NA,3,3,3,3
M2,3,3,3,3,3,3,3,NA,3,3,3,3
M3,3,3,3,3,3,3,3,NA,3,3,3,3
M4,3,3,3,3,3,3,3,NA,3,3,3,3
